Backend Develover/ Программист-разработчик Python|https://hh.ru/vacancy/69968796|100000|HTML, CSS, JS.<highlighttext>Python</highlighttext>3 / Django 3.2+. MySQL или PosgreSQL - построение таблиц и запросов. Redis. Linux окружение (nginx, systemd и прочите...
Python Developer|https://hh.ru/vacancy/69776722|100000|Опыт работы с <highlighttext>Python</highlighttext> (Django) от 1го года. Понимание принципов построения ПО. Знание и умение общаться на тему clean...Проектировать API для доступа к функциональности платформы (дорабатывать ее, реализовывать новые фичи). Оптимизировать процесс разработки, тестирования и тд. 
Python разработчик|https://hh.ru/vacancy/68077706|не указана|Опыт разработки на <highlighttext>Python</highlighttext> 3.Х. Понимание механики языка <highlighttext>Python</highlighttext> и сопутствующих инструментов (pytest, mypy, poetry, flake8). Писать нагруженные сервисы на <highlighttext>Python</highlighttext>. Разрабатывать API для мобильных, веб-приложений и внутренних сервисов на <highlighttext>Python</highlighttext>. Интегрироваться с другими сервисами...
Python developer (Senior)|https://hh.ru/vacancy/54956212|360000|Отличные знания <highlighttext>Python</highlighttext>. Высокий уровень знаний Django. Разнообразный опыт работы с asyncio, aiohttp. Большой опыт разработки высоконагруженных и распределенных систем. Разработкой архитектуры, поддержкой, развитием и оптимизацией проектов. Проектированием и развитием архитектуры баз данных. Разработкой новой функциональности и улучшением имеющейся. 
Разработчик Python|https://hh.ru/vacancy/47668037|30000|Опыт проектирования, поддержки и разработки серверных компонентов на <highlighttext>Python</highlighttext>. Знание Microsoft SQL server и PostgreSql. Опыт работы с Git. Разработка бэкенд новых SaaS проектов на <highlighttext>Python</highlighttext>. Поддержка, устранение проблем в ранее разработанном ПО совместно с командой. Рефакторинг и оптимизация...
Data Analyst - NLP (to Canada/Serbia)|https://hh.ru/vacancy/70138596|7000|First-hand experience in analyzing and adjusting ML models performance. <highlighttext>Python</highlighttext> development, preferably related to ML or NLP (sklearn, pandas...Build data-driven and ML-based compliance / conduct solutions in <highlighttext>Python</highlighttext>. Work on production applications. Refine internal tools and automations. 
QA Engineer (manual + auto Python 50/50) (локация не РФ/РБ)|https://hh.ru/vacancy/70420059|2700|Уметь тестировать без чётко описанных требований, задачи в 99% случаев описаны на английском языке. <highlighttext>Python</highlighttext> (Selenium Requests), HTML/CSS, SQL......ручное тоже нужно). Разработка тестовых сценариев. Работа с дефектами и контроль их исправления. Написание и поддержка автотестов (<highlighttext>Python</highlighttext>, Selenium, Requests).
Machine Learning Engineer|https://hh.ru/vacancy/70514604|3000|Understanding of REST APIs, the document request model, and offline storage. Strong skills on <highlighttext>Python</highlighttext>. Should have worked in a...Continuously work on finding areas of improvement in dishes and ingredients recognition for food ontology. Working on restaurant menus parsing...
Разработчик Python|https://hh.ru/vacancy/70515347|не указана|Отличное знание <highlighttext>Python</highlighttext> 3 и опыт промышленной разработки на <highlighttext>Python</highlighttext> от трех лет. Опыт многопоточного и асинхронного программирования. Проектирование компонентов систем. Организация процесса разработки. Написание и ревью кода. Наставление менее опытных коллег.
Machine Learning Engineer|https://hh.ru/vacancy/69483781|100000|уверенное владение по меньшей мере одним языком программирования (желательно <highlighttext>python</highlighttext>). - хорошее понимание принципов работы docker, опыт работы с ним. - None
