animal_id,fk_type,animal_name,fk_breed,fk_colour_1,fk_colour_2,date_of_birth
A681701,1,,51,13,25,2014-06-16 00:00:00
A685901,1,,12,3,1,2014-04-14 00:00:00
A688808,1,,51,23,1,2014-08-17 00:00:00
A677564,1,,51,27,1,2014-04-04 00:00:00
A686753,1,*Truffle,51,3,1,2014-02-11 00:00:00
A681157,1,,51,27,1,2014-04-28 00:00:00
A688748,1,,51,42,1,2014-09-01 00:00:00
A671184,1,,20,27,1,2012-07-20 00:00:00
A692887,1,Moby Dixson,51,23,1,2014-08-27 00:00:00
A691711,1,,51,13,25,2014-08-08 00:00:00
A679410,1,,51,27,25,2014-05-14 00:00:00
A664283,1,Juliet,51,27,25,2012-10-01 00:00:00
A679085,1,*Elsa,48,20,1,2012-05-16 00:00:00
A673970,1,,51,14,25,2013-03-05 00:00:00
A676600,1,Sassy,20,24,1,2008-04-12 00:00:00
A628628,1,Nala,51,3,1,2012-03-30 00:00:00
A676541,1,Tabs,51,3,1,2013-04-11 00:00:00
A678653,1,Kaleysee,20,3,1,2014-03-27 00:00:00
A678951,1,Tiger,51,42,1,2011-05-14 00:00:00
A668012,1,*Baxter,51,42,1,2013-10-19 00:00:00
A678837,1,,51,3,25,2014-04-21 00:00:00
A690090,1,,51,27,25,2013-10-14 00:00:00
A677443,1,,11,23,25,2010-04-25 00:00:00
A627272,1,Odessa,51,22,25,2012-04-15 00:00:00
A589009,1,Rogue Momo,51,27,1,2010-07-18 00:00:00
A693245,1,Billy,20,22,25,2003-12-04 00:00:00
A679579,1,*Suzie,51,13,25,2014-04-16 00:00:00
A674688,1,Poppy,51,27,1,2013-11-16 00:00:00
A665668,1,Dylan,51,25,27,2003-10-21 00:00:00
A667007,1,*Azure,51,27,1,2013-09-11 00:00:00
A675115,1,,51,3,1,2013-09-23 00:00:00
A664442,1,*Candy Corn,51,27,1,2013-08-12 00:00:00
A689499,1,Kitty,11,25,1,2011-10-04 00:00:00
A666677,1,*Max,51,22,25,2013-10-05 00:00:00
A674737,1,*Byron,51,27,1,2014-03-15 00:00:00
A674564,1,Sirus,51,3,1,2013-06-15 00:00:00
A676440,1,,51,42,1,2014-04-03 00:00:00
A662822,1,*Kera,51,3,1,2013-08-16 00:00:00
A677216,1,,51,27,1,2014-03-21 00:00:00
A687041,1,,51,3,1,2014-08-23 00:00:00
A689349,1,*Michonne,48,3,1,2014-08-26 00:00:00
A668549,1,*Dasher,48,37,1,2012-12-04 00:00:00
A635698,1,*Taco,20,27,1,2012-06-26 00:00:00
A687495,1,,51,27,1,2014-05-21 00:00:00
A664070,1,,51,25,23,2013-07-06 00:00:00
A668908,1,Hero,51,25,23,2013-04-11 00:00:00
A668683,1,*Joe,51,27,25,2011-12-07 00:00:00
A676213,1,Buddy Buddy,51,3,1,2006-04-06 00:00:00
A674396,1,*Bonnie,48,3,1,2009-03-12 00:00:00
A686214,1,*Sam,51,25,27,2014-07-12 00:00:00
A683238,1,*Adam,51,24,1,2013-07-08 00:00:00
A680461,1,*Georgia,51,25,27,2014-05-03 00:00:00
A677282,1,*Castor,51,27,1,2014-03-20 00:00:00
